id,sailing,departure,check_1_index_page_reread,check_2_official_deep_link,check_3_price,check_4_scope,check_5_window,result
LA-63,"Ovation of the Seas — 7-Night Cabo Overnight, Catalina & Ensenada",2027-02-26,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-26feb2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo-overnight-catalina-ensenada-from-los-angeles-on-ovation/OV07LAX-1983939617?sail-date=2027-02-26&currency=USD,"CONFIRMED — $650pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,708"
LA-64,Ovation of the Seas — 3-Night Ensenada,2027-03-05,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-05mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-los-angeles-on-ovation/OV03LAX-1965470999?sail-date=2027-03-05&currency=USD,"CONFIRMED — $325pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,058"
LA-65,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-08,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-08mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-los-angeles-on-ovation/OV04LAX-1005460505?sail-date=2027-03-08&currency=USD,"CONFIRMED — $366pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,140"
LA-66,"Ovation of the Seas — 7-Night Cabo Overnight, Catalina & Ensenada",2027-03-12,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-12mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo-overnight-catalina-ensenada-from-los-angeles-on-ovation/OV07LAX-1983939617?sail-date=2027-03-12&currency=USD,"CONFIRMED — $706pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,820"
LA-67,Ovation of the Seas — 3-Night Ensenada,2027-03-19,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-19mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-los-angeles-on-ovation/OV03LAX-1965470999?sail-date=2027-03-19&currency=USD,"CONFIRMED — $349pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,106"
LA-68,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-22,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-22mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-los-angeles-on-ovation/OV04LAX-1005460505?sail-date=2027-03-22&currency=USD,"CONFIRMED — $428pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,264"
LA-69,Ovation of the Seas — 3-Night Ensenada,2027-03-26,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-26mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-los-angeles-on-ovation/OV03LAX-1965470999?sail-date=2027-03-26&currency=USD,"CONFIRMED — $488pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,384"
LA-70,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-29,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-29mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-los-angeles-on-ovation/OV04LAX-1005460505?sail-date=2027-03-29&currency=USD,"CONFIRMED — $439pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,286"
LA-71,Discovery Princess — 7-Night Mexican Riviera,2027-02-20,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-20feb2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=X709,"CONFIRMED — $599pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,606"
LA-72,Discovery Princess — 7-Night Mexican Riviera,2027-02-27,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-27feb2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=X710,"CONFIRMED — $549pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,506"
LA-73,Discovery Princess — 7-Night Mexican Riviera,2027-03-06,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-06mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=X711,"CONFIRMED — $749pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,906"
LA-74,Discovery Princess — 7-Night Mexican Riviera,2027-03-13,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-13mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=X712,"CONFIRMED — $579pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,566"
LA-75,Discovery Princess — 7-Night Mexican Riviera,2027-03-20,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-20mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=X713,"CONFIRMED — $649pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,706"
LA-76,Discovery Princess — 7-Night Mexican Riviera,2027-03-27,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-27mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=X714,"CONFIRMED — $554pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,516"
LA-77,Emerald Princess — 16-Night Hawaiian Islands,2027-02-26,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonemeraldprincess-26feb2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=E705,"CONFIRMED — $1,189pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $2,786"
LA-78,Emerald Princess — 7-Night Classic California Coast,2027-03-21,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonemeraldprincess-21mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=E707,"CONFIRMED — $529pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,466"
LA-79,Carnival Panorama — 6-Day Mexican Riviera,2027-03-07,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-07mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/6-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/6-days/mrk/?sailDate=03072027,"CONFIRMED — $334pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,076"
LA-80,Carnival Panorama — 8-Day Mexican Riviera,2027-03-13,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-13mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/8-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/8-days/mrx/?sailDate=03132027,"CONFIRMED — $593pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,594"
LA-81,Carnival Panorama — 6-Day Mexican Riviera,2027-03-21,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-21mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/6-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/6-days/mrx/?sailDate=03212027,"CONFIRMED — $469pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,346"
LA-82,Carnival Panorama — 8-Day Mexican Riviera,2027-03-27,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-27mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/8-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/8-days/mrx/?sailDate=03272027,"CONFIRMED — $703pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,814"
LA-83,Carnival Radiance — 5-Day Mexican Riviera,2027-03-04,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-04mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/5-day-mexican-riviera-cruise/long-beach-los-angeles/radiance/5-days/mrp/?sailDate=03042027,"CONFIRMED — $392pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,192"
LA-84,Carnival Radiance — 5-Day Mexican Riviera,2027-03-09,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-09mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/5-day-mexican-riviera-cruise/long-beach-los-angeles/radiance/5-days/mrq/?sailDate=03092027,"CONFIRMED — $401pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,210"
LA-85,Carnival Radiance — 14-Day Hawaii,2027-03-14,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-14mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/14-day-hawaii-cruise/long-beach-los-angeles/radiance/14-days/jht/?sailDate=03142027,"CONFIRMED — $1,278pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $2,964"
LA-86,Carnival Radiance — 4-Day Baja Mexico,2027-03-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-28mar2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/4-day-baja-mexico-cruise/long-beach-los-angeles/radiance/4-days/lxn/?sailDate=03282027,"CONFIRMED — $485pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,378"
SD-51,"Serenade of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-02-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-28feb2027.html,"PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-ensenada,-cabo-mazatlan-from-san-diego-on-serenade/SR07SAN-3702601301?sail-date=2027-02-28&currency=USD","CONFIRMED — $519pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,350"
SD-52,Disney Wonder — 4-Night Baja,2027-03-08,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesondisneywonder-08mar2027.html,PASS — official voyage deep link: https://disneycruise.disney.go.com/cruises-destinations/list/DW2242/4-Night-Baja-Cruise-from-San-Diego/2027-03-08-Disney-Wonder/,"CONFIRMED — $1,874pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $4,060"
SD-53,Koningsdam — 7-Night Mexican Riviera,2027-03-27,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonkoningsdam-27mar2027.html,PASS — official voyage deep link: https://www.hollandamerica.com/en/us/find-a-cruise/m7r07a/k718a,"CONFIRMED — $1,149pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $2,610"
SD-54,Koningsdam — 11-Night Mexican Riviera & Pacific Coast (ends Vancouver),2027-03-27,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonkoningsdam-27mar2027.html,PASS — official voyage deep link: https://www.hollandamerica.com/en/us/find-a-cruise/m7r11a/k718,"CONFIRMED — $1,199pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $2,968"
SD-55,"Koningsdam — 28-Night Mexico Riviera, Pacific Coastal & Circle Hawaii (ends Vancouver)",2027-03-27,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonkoningsdam-27mar2027.html,PASS — official voyage deep link: https://www.hollandamerica.com/en/us/find-a-cruise/h7h28a/k718b,"CONFIRMED — $3,184pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $6,938"
SD-56,Zaandam — 7-Night Mexican Riviera,2027-03-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonzaandam-28mar2027.html,PASS — official voyage deep link: https://www.hollandamerica.com/en/us/find-a-cruise/m7r07d/x719,"CONFIRMED — $899pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $2,110"
